Command main.py play --no-gui --agents imitation_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 12.523762702941895, Mean Loss 12.523762702941895, Actions 50, Mean reward -1100.0, Reward -1100, Record -1100
Game 2, Game Loss 8.64126205444336, Mean Loss 10.582511901855469, Actions 26, Mean reward -1400.0, Reward -1700, Record -1100
Game 3, Game Loss 8.864148139953613, Mean Loss 10.009723663330078, Actions 26, Mean reward -1366.6666666666667, Reward -1300, Record -1100
Game 4, Game Loss 6.711258411407471, Mean Loss 9.185107231140137, Actions 186, Mean reward -2450.0, Reward -5700, Record -1100
Game 5, Game Loss 5.55265474319458, Mean Loss 8.458616256713867, Actions 13, Mean reward -2040.0, Reward -400, Record -400
Game 6, Game Loss 6.152646541595459, Mean Loss 8.074288368225098, Actions 15, Mean reward -1766.6666666666667, Reward -400, Record -400
Game 7, Game Loss 5.7507476806640625, Mean Loss 7.742353916168213, Actions 39, Mean reward -1800.0, Reward -2000, Record -400
Game 8, Game Loss 8.395854949951172, Mean Loss 7.824041366577148, Actions 5, Mean reward -1575.0, Reward 0, Record 0
Game 9, Game Loss 6.886315822601318, Mean Loss 7.719849586486816, Actions 66, Mean reward -1500.0, Reward -900, Record 0
Game 10, Game Loss 7.499051570892334, Mean Loss 7.697770118713379, Actions 11, Mean reward -1350.0, Reward 0, Record 0
Game 11, Game Loss 6.805683135986328, Mean Loss 7.616671562194824, Actions 47, Mean reward -1190.909090909091, Reward 400, Record 400
Game 12, Game Loss 6.933868885040283, Mean Loss 7.5597710609436035, Actions 32, Mean reward -1150.0, Reward -700, Record 400
Game 13, Game Loss 7.045369625091553, Mean Loss 7.520202159881592, Actions 13, Mean reward -1046.1538461538462, Reward 200, Record 400
Game 14, Game Loss 8.058650970458984, Mean Loss 7.558662414550781, Actions 54, Mean reward -935.7142857142857, Reward 500, Record 500
Game 15, Game Loss 8.148354530334473, Mean Loss 7.597975254058838, Actions 17, Mean reward -940.0, Reward -1000, Record 500
Game 16, Game Loss 9.236806869506836, Mean Loss 7.70040225982666, Actions 20, Mean reward -900.0, Reward -300, Record 500
Game 17, Game Loss 7.934010982513428, Mean Loss 7.714143753051758, Actions 49, Mean reward -964.7058823529412, Reward -2000, Record 500
Game 18, Game Loss 8.341887474060059, Mean Loss 7.74901819229126, Actions 85, Mean reward -955.5555555555555, Reward -800, Record 500
Game 19, Game Loss 8.515066146850586, Mean Loss 7.789336204528809, Actions 46, Mean reward -942.1052631578947, Reward -700, Record 500
Game 20, Game Loss 7.661584377288818, Mean Loss 7.782948970794678, Actions 25, Mean reward -915.0, Reward -400, Record 500
Game 21, Game Loss 9.741093635559082, Mean Loss 7.876194000244141, Actions 8, Mean reward -895.2380952380952, Reward -500, Record 500
Game 22, Game Loss 8.6044340133667, Mean Loss 7.909295558929443, Actions 25, Mean reward -845.4545454545455, Reward 200, Record 500
Game 23, Game Loss 8.533693313598633, Mean Loss 7.936443328857422, Actions 28, Mean reward -769.5652173913044, Reward 900, Record 900
Game 24, Game Loss 7.830908298492432, Mean Loss 7.9320454597473145, Actions 51, Mean reward -795.8333333333334, Reward -1400, Record 900
Game 25, Game Loss 7.963990688323975, Mean Loss 7.933323383331299, Actions 88, Mean reward -824.0, Reward -1500, Record 900
Game 26, Game Loss 7.3846001625061035, Mean Loss 7.9122185707092285, Actions 21, Mean reward -823.0769230769231, Reward -800, Record 900
Game 27, Game Loss 7.738481044769287, Mean Loss 7.905783653259277, Actions 43, Mean reward -785.1851851851852, Reward 200, Record 900
Game 28, Game Loss 7.20301628112793, Mean Loss 7.880684852600098, Actions 73, Mean reward -850.0, Reward -2600, Record 900
Game 29, Game Loss 7.398722171783447, Mean Loss 7.864065647125244, Actions 24, Mean reward -837.9310344827586, Reward -500, Record 900
Game 30, Game Loss 7.390617370605469, Mean Loss 7.848283767700195, Actions 42, Mean reward -860.0, Reward -1500, Record 900
Game 31, Game Loss 7.191093444824219, Mean Loss 7.827084541320801, Actions 33, Mean reward -838.7096774193549, Reward -200, Record 900
Game 32, Game Loss 7.648139953613281, Mean Loss 7.8214921951293945, Actions 9, Mean reward -831.25, Reward -600, Record 900
Game 33, Game Loss 6.836061000823975, Mean Loss 7.791630744934082, Actions 41, Mean reward -848.4848484848485, Reward -1400, Record 900
Game 34, Game Loss 6.822917461395264, Mean Loss 7.763138771057129, Actions 23, Mean reward -811.7647058823529, Reward 400, Record 900
Game 35, Game Loss 6.725536823272705, Mean Loss 7.733492374420166, Actions 33, Mean reward -800.0, Reward -400, Record 900
Game 36, Game Loss 5.884428977966309, Mean Loss 7.682129859924316, Actions 5, Mean reward -777.7777777777778, Reward 0, Record 900
Game 37, Game Loss 6.583553791046143, Mean Loss 7.652438640594482, Actions 28, Mean reward -759.4594594594595, Reward -100, Record 900
Game 38, Game Loss 6.6386847496032715, Mean Loss 7.625760555267334, Actions 25, Mean reward -734.2105263157895, Reward 200, Record 900
Game 39, Game Loss 6.280801296234131, Mean Loss 7.591274261474609, Actions 31, Mean reward -689.7435897435897, Reward 1000, Record 1000
Game 40, Game Loss 6.411786079406738, Mean Loss 7.561786651611328, Actions 24, Mean reward -665.0, Reward 300, Record 1000
Game 41, Game Loss 6.592654705047607, Mean Loss 7.538149356842041, Actions 39, Mean reward -648.780487804878, Reward 0, Record 1000
Game 42, Game Loss 6.707505226135254, Mean Loss 7.518372535705566, Actions 19, Mean reward -642.8571428571429, Reward -400, Record 1000
Game 43, Game Loss 7.1244330406188965, Mean Loss 7.509210586547852, Actions 43, Mean reward -572.0930232558139, Reward 2400, Record 2400
Game 44, Game Loss 7.114455699920654, Mean Loss 7.500238418579102, Actions 47, Mean reward -572.7272727272727, Reward -600, Record 2400
Game 45, Game Loss 6.8279128074646, Mean Loss 7.485298156738281, Actions 21, Mean reward -546.6666666666666, Reward 600, Record 2400
Game 46, Game Loss 6.861477851867676, Mean Loss 7.471736907958984, Actions 44, Mean reward -536.9565217391304, Reward -100, Record 2400
Game 47, Game Loss 7.055858135223389, Mean Loss 7.462888240814209, Actions 16, Mean reward -519.1489361702128, Reward 300, Record 2400
Game 48, Game Loss 7.596165657043457, Mean Loss 7.465664386749268, Actions 23, Mean reward -487.5, Reward 1000, Record 2400
Game 49, Game Loss 6.549670696258545, Mean Loss 7.4469709396362305, Actions 67, Mean reward -477.55102040816325, Reward 0, Record 2400
Game 50, Game Loss 7.153072357177734, Mean Loss 7.4410929679870605, Actions 26, Mean reward -474.0, Reward -300, Record 2400
Game 51, Game Loss 6.524649143218994, Mean Loss 7.423123836517334, Actions 111, Mean reward -452.94117647058823, Reward 600, Record 2400
Game 52, Game Loss 6.725179672241211, Mean Loss 7.409701824188232, Actions 23, Mean reward -444.2307692307692, Reward 0, Record 2400
